Timestamp,Magnitude,Frequency,WaveType,SimulatedMagnitude
2025-06-20 11:58:34.096,0.0046,0.00,P-wave,2.00
2025-06-20 11:58:34.753,0.0101,0.00,P-wave,2.00
2025-06-20 11:58:34.837,0.0159,0.00,P-wave,2.00
2025-06-20 11:58:34.854,0.0209,0.00,P-wave,2.00
2025-06-20 11:58:34.891,0.0247,0.00,P-wave,2.00
2025-06-20 11:58:34.911,0.0292,0.00,P-wave,2.00
2025-06-20 11:58:34.925,0.0341,0.00,P-wave,2.00
2025-06-20 11:58:34.935,0.0389,0.00,P-wave,2.00
2025-06-20 11:58:34.939,0.0443,6.37,P-wave,2.00
2025-06-20 11:58:34.944,0.0495,6.37,P-wave,2.00
2025-06-20 11:58:34.948,0.0504,6.37,P-wave,2.06
2025-06-20 11:58:34.953,0.0485,6.37,P-wave,2.00
2025-06-20 11:58:34.957,0.0471,6.37,P-wave,2.00
2025-06-20 11:58:34.961,0.0473,3.82,P-wave,2.00
2025-06-20 11:58:34.965,0.0487,3.82,P-wave,2.00
2025-06-20 11:58:34.969,0.0494,3.82,P-wave,2.00
2025-06-20 11:58:34.973,0.0487,3.82,P-wave,2.00
2025-06-20 11:58:34.978,0.0489,7.14,P-wave,2.00
2025-06-20 11:58:34.981,0.0486,7.14,P-wave,2.00
2025-06-20 11:58:34.985,0.0481,7.14,P-wave,2.00
2025-06-20 11:58:34.989,0.0474,7.14,P-wave,2.00
2025-06-20 11:58:34.992,0.0482,7.14,P-wave,2.00
2025-06-20 11:58:34.996,0.0487,7.14,P-wave,2.00
2025-06-20 11:58:35.001,0.0481,7.14,P-wave,2.00
2025-06-20 11:58:35.005,0.0478,7.14,P-wave,2.00
2025-06-20 11:58:35.011,0.0475,7.14,P-wave,2.00
2025-06-20 11:58:35.019,0.0486,3.97,P-wave,2.00
2025-06-20 11:58:35.024,0.0481,3.97,P-wave,2.00
2025-06-20 11:58:35.029,0.0481,3.97,P-wave,2.00
2025-06-20 11:58:35.034,0.0482,3.97,P-wave,2.00
2025-06-20 11:58:35.037,0.0472,3.97,P-wave,2.00
2025-06-20 11:58:35.041,0.0473,3.97,P-wave,2.00
2025-06-20 11:58:35.078,0.0477,5.43,P-wave,2.00
2025-06-20 11:58:35.105,0.0477,5.43,P-wave,2.00
2025-06-20 11:58:37.233,0.0478,5.43,P-wave,2.00
2025-06-20 11:58:37.239,0.0481,8.55,P-wave,2.00
2025-06-20 11:58:37.242,0.0467,8.55,P-wave,2.00
2025-06-20 11:58:37.246,0.0469,8.55,P-wave,2.00
2025-06-20 11:58:37.250,0.0468,8.55,P-wave,2.00
2025-06-20 11:58:37.254,0.0462,8.55,P-wave,2.00
2025-06-20 11:58:37.258,0.0474,6.21,P-wave,2.00
2025-06-20 11:58:37.262,0.0471,6.21,P-wave,2.00
2025-06-20 11:58:37.266,0.0473,10.64,P-wave,2.00
2025-06-20 11:58:37.270,0.0475,10.64,P-wave,2.00
2025-06-20 11:58:37.810,0.0465,10.64,P-wave,2.00
2025-06-20 11:58:37.814,0.0461,10.64,P-wave,2.00
2025-06-20 11:58:37.818,0.0460,10.64,P-wave,2.00
2025-06-20 11:58:37.822,0.0455,10.64,P-wave,2.00
2025-06-20 11:58:37.826,0.0454,10.64,P-wave,2.00
2025-06-20 11:58:37.829,0.0466,4.81,P-wave,2.00
2025-06-20 11:58:37.833,0.0467,4.81,P-wave,2.00
2025-06-20 11:58:37.836,0.0475,4.81,P-wave,2.00
2025-06-20 11:58:37.840,0.0461,4.81,P-wave,2.00
2025-06-20 11:58:37.844,0.0458,4.81,P-wave,2.00
2025-06-20 11:58:37.847,0.0466,4.81,P-wave,2.00
2025-06-20 11:58:37.851,0.0471,5.41,P-wave,2.00
2025-06-20 11:58:37.855,0.0477,5.41,P-wave,2.00
2025-06-20 11:58:37.858,0.0476,5.41,P-wave,2.00
2025-06-20 11:58:38.051,0.0483,8.55,P-wave,2.00
2025-06-20 11:58:38.056,0.0476,8.55,P-wave,2.00
2025-06-20 11:58:38.059,0.0473,8.55,P-wave,2.00
2025-06-20 11:58:38.062,0.0470,8.55,P-wave,2.00
2025-06-20 11:58:38.066,0.0476,8.55,P-wave,2.00
2025-06-20 11:58:38.069,0.0473,8.55,P-wave,2.00
